Jname	Jarticles	nWave_ap	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	nWave_ra	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	nWave_rp	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Biol. Psychiatry	288	288	203	158	243.5	288	125	80	175	288	339	270.5	408
Biol. Res.	53	53				53	103	65	138	53		114	
Biologicals	70	70	85	71	121	70	106	47	158	70	195	136	256
Biologics	1	1				1				1			
Biology (Basel)	39	39				39	43	28.5	61.5	39			
Biom J	79	79	130	96	150	79	276	192	436	79	428	312	532
Biomark Res	19	19				19	54	10.5	64	19	86	44	
Biomaterials	1104	1104	93	85	105	1104	36	19	55	1104	130	112	151
Biomech Model Mechanobiol	93	93	312	295	326	93	146	108	183	93	465	410	509
Biomed Eng Online	60	60				60	94	69.5	124	60			
Biomed Opt Express	305	305		41		305	57	45	71	305		111	
Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub	51	51	234	85	422	51	153	119	192	51	360	206	485
Biomed Rep	201	201	68	54	95	201	49	39	67	201	131	107	149
Biomed Res Int	2696	2696				2696	79	56	106	2696			
Biomed Tech (Berl)	23	23	62	50	90.5	23	140	106	165.5	23	204	166.5	272
Biomed. Chromatogr.	219	219	185	173	203	219	60	40.5	95	219	253	223	298
Biomed. Environ. Sci.	58	58	213.5	123	306	58	126	87	196	58	383.5	269	428
Biomed. Pharmacother.	121	121	112	88	127	121	24	18	33	121	132	118	161
Biomedica	60	60		281		60	215	162.5	309	60		485	
Biometals	65	65	68	44	89	65	98	47	163	65	144	113	206
Biometrics	66	66	183	152	211	66	289.5	212	367	66	487	394	577
Biomicrofluidics	185	185				185	58	43	80	185			
Biomol Concepts	16	16	112.5	100	128	16	59.5	33	75	16	166	139.5	187.5
Biomol NMR Assign	73	73	405	384	458	73	73	55	98	73	495	440	543
Biomol Ther (Seoul)	55	55	33	8		55	47	28	86.5	55	57	31.5	105
Biomolecules	19	19				19	35	30	49.5	19			
Bioorg. Chem.	29	29	64	58	77	29	158	118	185	29	216	182	249
Bioorg. Med. Chem.	983	983	76	67	85	983	58	43	75	983	136	115	160
Bioorg. Med. Chem. Lett.	1342	1342	66	60	71	1342	56	40	79	1342	122	105	148
Biopharm Drug Dispos	44	44	89	81	107	44	134	80.5	178	44	236	175.5	269
Biophys Rev	4	4				4				4			
Biophys. Chem.	72	72		78		72	40.5	29	57	72		113.5	
Biophys. J.	368	368	49	42	57	368	110	70.5	149	368	161.5	122.5	204
Biopolymers	74	74	149	116	195	74	81	52	120	74	247	215	270
Bioprocess Biosyst Eng	223	223	237	211.5	257	223	79	22.5	117	223	324	270	364.5
Biopsychosoc Med	10	10				10	110	77	256	10	273.5	61	
Bioresour. Technol.	1810	1810	72	62	84	1810	68	54	87	1810	140	122	168
Biosci Microbiota Food Health	35	35				35	72	46	123	35	245	64	
Biosens Bioelectron	682	682	179	166	193	682	69	53	83	682	249	227	270
Biosensors (Basel)	21	21	49	27		21	39	31	57	21	106	52	
BioSystems	87	87	76	49	91	87	109	69	185	87	207	137.5	292
BioTechniques	30	30	31	19	45	30	86.5	72	131	30	133	94	162
Biotechnol Biofuels	104	104				104	105	81	131	104		84	
Biotechnol J	112	112	67	46	109	112	121	93	149.5	112	197	171	232
Biotechnol Res Int	17	17				17	73	61	101	17	37	22	
Biotechnol. Adv.	107	107	249	190		107	128	90	162	107	364	339.5	
Biotechnol. Appl. Biochem.	70	70				70	74.5	57	98	70			
Biotechnol. Bioeng.	358	358	167	154	178	358	88.5	69	115	358	256	232	286
Biotechnol. Lett.	282	282	123	116	132	282	60	39	83	282	179	161	211
Biotechnol. Prog.	218	218				218				218			
Bipolar Disord	41	41	185	150	241	41	247	159	417	41	468	344	556
Birth Defects Res. B Dev. Reprod. Toxicol.	60	60	62.5	50	94	60	49	12	63	60	113.5	62	159
Birth Defects Res. C Embryo Today	9	9	95	35		9	24	0	42	9	35	34	36
Birth Defects Res. Part A Clin. Mol. Teratol.	75	75	94	54	128.5	75	77	55.5	109.5	75	174	139	216
BJOG	1	1				1				1			
Blood Cancer J	18	18				18	27.5	7	147	18			
Blood Cells Mol. Dis.	93	93	126	109	142	93	26	9	54	93	157	136	189
Blood Purif.	51	51				51	154	115.5	170	51		94	
Blood Res	28	28	34.5	14	50	28	144	111	173	28	178.5	135.5	201.5
Blood Transfus	122	122	258	172	335	122	81	64	113	122	349.5	298	417
BMB Rep	1	1				1				1			
BMC Anesthesiol	31	31				31	229	154	288	31		46.5	
BMC Biochem.	17	17				17	116	97	209	17		65	
BMC Bioinformatics	187	187				187	163	126	204	187	289	68	
BMC Biol.	71	71				71	84	47	111.5	71			
BMC Biophys	6	6				6	149	100	224	6		89	
BMC Biotechnol.	62	62				62	144.5	106	184	62		67	
BMC Cancer	336	336				336	164.5	122	219	336		70.5	
BMC Cardiovasc Disord	70	70				70	174.5	143	255	70		80	
BMC Cell Biol.	32	32				32	143.5	114	182.5	32	128	42.5	
BMC Clin Pathol	18	18				18	175	127	212	18		65	
BMC Complement Altern Med	205	205				205	166	127	223	205		105	
BMC Dermatol.	12	12				12	158.5	92	231.5	12			
BMC Dev. Biol.	20	20				20	128	93.5	157	20		103	
BMC Ear Nose Throat Disord	9	9				9	101	78	136	9		204	
BMC Ecol.	29	29				29	156	118	223	29		67	
BMC Emerg Med	14	14				14	273.5	145	279	14	196	70	
BMC Endocr Disord	26	26				26	159	133	225	26		72	
BMC Evol. Biol.	169	169				169	124	92	168	169		86	
BMC Fam Pract	97	97				97	136	109	184	97		73	
BMC Gastroenterol	97	97				97	187	134	231	97	262	69	
BMC Genet.	83	83				83	186	131	241.5	83		75	
BMC Genomics	499	499				499	155	117	202	499		81	
BMC Geriatr	72	72				72	158.5	118.5	240	72		86	
BMC Health Serv Res	293	293				293	228	170	297	293	291	74	
BMC Hematol	4	4				4				4			
BMC Immunol.	27	27				27	149	115	185.5	27	225	71	
BMC Infect. Dis.	308	308				308	181	140	231.5	308		102	
BMC Int Health Hum Rights	29	29				29	209	140	243	29	189	82	
BMC Med	128	128				128	107.5	64.5	162.5	128		86	
BMC Med Educ	112	112				112	207	148.5	260.5	112	349.5	67.5	
BMC Med Ethics	28	28				28	143	108.5	204.5	28		69.5	
BMC Med Genomics	33	33				33	130	110	199	33		196	
BMC Med Imaging	31	31				31	217	164.5	331.5	31	394	81	
BMC Med Inform Decis Mak	81	81				81	191	144	256	81		77	
BMC Med Phys	5	5				5	271	271	283	5		64	
BMC Med Res Methodol	96	96				96	173.5	126.5	247	96		65	
BMC Med. Genet.	82	82				82	219	157	280	82	261	82	
BMC Microbiol.	159	159				159	138	99	177	159		68.5	
BMC Mol. Biol.	18	18				18	156	103	198	18		184	
BMC Musculoskelet Disord	207	207				207	176	124.5	234	207		106.5	
BMC Nephrol	143	143				143	158	112.5	203.5	143	255	62.5	
BMC Neurol	120	120				120	197.5	140	280.5	120		74	
BMC Neurosci	86	86				86	173	125	214	86		105	
BMC Nurs	28	28				28	212.5	163.5	277.5	28		103	
BMC Ophthalmol	44	44				44	190.5	151	269	44		11	
BMC Oral Health	40	40				40	138.5	103.5	192.5	40		63	
BMC Palliat Care	23	23				23	142	87	169.5	23		76	
BMC Pediatr	115	115				115	170	124.5	218.5	115		135	
BMC Pharmacol Toxicol	37	37				37	140	114	261	37		233	
BMC Physiol.	6	6				6	142	106	250	6		203	
BMC Plant Biol.	115	115				115	139	89	198	115		83.5	
BMC Pregnancy Childbirth	138	138				138	161	106	218	138		63	
BMC Psychiatry	197	197				197	169	109	255	197	357	78	
BMC Psychol	41	41				41	185	129	267	41		16	
BMC Public Health	695	695				695	183	134	241.5	695		72	
BMC Pulm Med	50	50				50	183.5	154	235	50		74	
BMC Res Notes	334	334				334	152.5	102	213	334		81	
BMC Sports Sci Med Rehabil	13	13				13	291	246	340	13	134	76	369
BMC Struct. Biol.	14	14				14	171.5	144	215	14			
BMC Surg	42	42				42	215	154	285	42		62	
BMC Syst Biol	77	77				77	193	153	260	77	132	39	
BMC Urol	39	39				39	133	85	166.5	39		35	
BMC Vet. Res.	150	150				150	147	104	200	150		81	
BMC Womens Health	21	21				21	200	164	306	21	393	85	
Body Image	95	95	81	59	115.5	95	206	166	262	95	308	254	341.5
Bone	393	393	104	93	116	393	115	78	159	393	221	180	263
Bone Joint Res	4	4				4				4			
Bone Marrow Res	11	11				11	62	50	71.5	11			
Bone Marrow Transplant.	157	157	202	180	221	157	109	71	158	157	306	274	355
Bonekey Rep	23	23				23	77	63.5	118	23			
Br J Clin Pharmacol	92	92	220	203	244.5	92	151	97	194	92	372.5	320	412
Br J Clin Psychol	41	41		280		41		215		41	413	288	480
Br J Dev Psychol	13	13	328	267		13	740	275		13	495	325	670
Br J Educ Psychol	12	12				12				12	560	526	626
Br J Guid Counc	6	6				6				6	194	193	198
Br J Health Psychol	48	48		419.5		48		258		48	503.5	432	603.5
Br J Math Stat Psychol	29	29		525		29		447		29	620	367	696
Br J Oral Maxillofac Surg	211	211	290	195.5	343.5	211	115	87	171.5	211	407	324.5	481
Br J Psychol	25	25	520	464		25	461	190		25	633	554	669
Br J Soc Psychol	19	19		524		19		564.5		19	718	580	825.5
Br J Surg	1	1				1				1			
Br. J. Cancer	330	330	54	49	62	330	99	76	126	330	159.5	133	187
Br. J. Haematol.	290	290	104	94	115	290	69	52	91	290	176	156	197
Br. J. Pharmacol.	181	181	112	93	145	181	159	101	210	181	260	208	328
Brachytherapy	93	93				93	92	64	138	93			
Brain Behav	68	68	81	62	98	68	106.5	68	205	68	180.5	140.5	284
Brain Behav. Evol.	37	37				37	76	35	159	37		198	
Brain Behav. Immun.	209	209	123	97	182	209	85	57	122	209	228	173	305
Brain Cogn	111	111	92	76	104	111	220	135.5	334	111	311	227	405
Brain Dev.	148	148	319	288.5	342.5	148	146	96.5	188.5	148	452.5	390	505.5
Brain Lang	127	127	85	65	203	127	224	151	285	127	331	258	511.5
Brain Pathol.	60	60	191.5	166	211.5	60	76	37.5	104.5	60	277	225	315.5
Brain Res.	725	725	68	59	77	725	117	73	161	725	191	148	239
Brain Res. Bull.	147	147	75	55	92	147	79	52.5	114	147	158	127	192
Brain Sci	29	29				29	67	56	75	29			
Brain Stimul	129	129	267	190	329	129	127	93	160	129	412	313	469
Brain Struct Funct	167	167	391	364	432.5	167	122	84	149.5	167	518	462	568.5
Brain Topogr	81	81	198	161	242	81	123	89	181	81	318	290	398
Brain Tumor Pathol	58	58	297	255	322	58	93	54	140	58	397	362	459
Brain Tumor Res Treat	4	4				4				4			
Braz Dent J	98	98				98	120.5	75	254	98		231	
Braz J Anesthesiol	111	111				111	81	49	126	111			
Braz J Biol	35	35	317	283.5	339.5	35	162	108	206.5	35	441	413	533
Braz J Infect Dis	141	141				141	86	49	132	141			
Braz J Otorhinolaryngol	77	77				77	114	81	196	77			
Braz J Phys Ther	49	49				49	179	72	238	49			
Braz Oral Res	66	66				66	117	86	147	66			
Braz. J. Med. Biol. Res.	101	101	77	61	91	101	129	104	168	101	211	175	251
Braz. J. Microbiol.	182	182	130	81	151	182	308.5	224	440	182	436.5	305	566
Breast	178	178	137	105	226	178	147	99	187	178	308	244	366
Breast Cancer	77	77	504	149	646	77	100	58	133	77	579	229	768
Breast Cancer Res.	79	79				79	175	140	243	79		61.5	
Breast Cancer Res. Treat.	387	387	32	19	41	387	49	23	84	387	80	53	126
Breed. Sci.	31	31	123	81.5	141	31	95	79	140	31	220	189	236
Bull Environ Contam Toxicol	294	294	67	53	79	294	136	97	186	294	205	169	259
Bull Group Int Rech Sci Stomatol Odontol	5	5				5	0	0	0	5			
Bull Soc Pathol Exot	30	30	89	75	120	30	152.5	93	207	30	257	185	282
Bull. Math. Biol.	109	109	93	68	107	109	188	140	244	109	286	234	394
Bull. World Health Organ.	121	121	101	86	117	121	141	117	180	121	248	218	289
Burns	205	205	250	218	271	205	147	99	195	205	400	344	451
C. R. Biol.	44	44		40.5		44	74	50.5	164.5	44	95.5	39	222
CA Cancer J Clin	13	13	162	151	166	13	50	48	89	13	201	201	214
Cad Saude Publica	106	106	120	108	142	106	169	127	236	106	290	253	358
Calcif. Tissue Int.	143	143	125	100	153.5	143	106	74.5	163	143	258	196	308
Can Assoc Radiol J	43	43	434	159	472	43	122	4	199	43	556	159	676
Can J Anaesth	119	119	82	77	89.5	119	144	101	211	119	230	196	298
Can J Cardiol	251	251	163	105	230	251	52	29	88	251	240	155	308.5
Can J Diabetes	24	24	52	28	75	24	98.5	54.5	120	24	152	82.5	185
Can J Public Health	57	57				57	126	99	162	57			
Can Urol Assoc J	2	2				2				2			
Can. J. Ophthalmol.	46	46	153.5	127	186	46	103	78	156	46	243	237	307
Can. J. Vet. Res.	22	22	330	313	360	22	124.5	99	156	22	475	435	505
Cancer	425	425	151	131	193	425	71	52	99	425	230	199	281
Cancer Biol Med	19	19		24.5		19	41	28.5	61	19	52	29	79
Cancer Causes Control	223	223	78	70.5	88	223	128	90	158.5	223	208	166.5	250
Cancer Cell	62	62	49	40	55	62	257	175	447	62	310.5	235	486
Cancer Cell Int.	68	68				68	103	59.5	142.5	68			
Cancer Chemother. Pharmacol.	361	361	75	64	83	361	74	50	133	361	153	129	214
Cancer Cytopathol	82	82	187	161	213	82	68	45	84	82	254	204	292
Cancer Epidemiol	158	158	130	116	151	158	98	72	141	158	241	201	273
Cancer Gene Ther.	28	28	59	43.5	73	28	42	24.5	107	28	105.5	76.5	184
Cancer Genet	55	55		7		55	143	108	182	55	233	113.5	
Cancer Growth Metastasis	1	1				1				1			
Cancer Immunol. Immunother.	123	123	92	72	128.5	123	129	92	169	123	225	177	282
Cancer Inform	1	1				1				1			
Cancer Lett.	554	554	144	121	158	554	78	57	110	554	226	199	264
Cancer Med	74	74	84	67	104	74	72	44	102	74	157.5	123	195
Cancer Metab	12	12		72		12	115	70.5	135.5	12	144	72.5	
Cancer Microenviron	14	14	294	104	388	14	79	56	105	14	381	176	454
Cancer Radiother	101	101	103	75	203	101	32	5	99	101	126	91	338
Cancer Res Treat	31	31	135	88	154	31	64	45	83	31	196	127	297
Cancer Sci.	251	251	95	87	103	251	85	57	115	251	180	150.5	208.5
Cancer Treat. Rev.	94	94	262.5	222	298	94	85	57	128	94	356	299	385
Cancers (Basel)	39	39				39	42	35	56	39			
Carbohydr Polym	1383	1383	115	101	136.5	1383	81	55	119	1383	204	166	247
Carbohydr. Res.	255	255	79	74	97	255	56	45	74	255	142	126	171
Carbon Balance Manag	7	7				7	94	55	113	7	108	25.5	
Cardiol J	102	102				102	0	0	21	102			
Cardiol Res Pract	32	32				32	70	48	101	32			
Cardiol Ther	13	13				13				13	178	119	246
Cardiology	149	149				149	67	30	98	149		67	
Cardiorenal Med	22	22	88	52	118	22	87.5	34	98	22	186	131	198
Cardiovasc Diabetol	92	92				92	50.5	39	75	92			
Cardiovasc Diagn Ther	33	33	87	32	193	33	27	21	32	33	122	67	225
Cardiovasc Hematol Agents Med Chem	14	14	275.5	186		14	45	23	187	14	294	108	871
Cardiovasc Hematol Disord Drug Targets	1	1				1				1			
Cardiovasc Interv Ther	108	108	174	145.5	192	108	91	58	152	108	272.5	235	319
Cardiovasc Intervent Radiol	161	161	293	227	330	161	92	59	139	161	391	341	424
Cardiovasc J Afr	46	46	82	43		46	192.5	121	220	46	238.5	160	992
Cardiovasc Psychiatry Neurol	20	20				20	67	52.5	123	20			
Cardiovasc Revasc Med	76	76				76	47.5	31	88	76			
Cardiovasc Ultrasound	15	15				15	49	31.5	79	15			
Cardiovasc. Pathol.	87	87				87	68	40.5	95	87			
Caries Res.	100	100		95		100	108	71	191.5	100	265	81	622
Case Rep Anesthesiol	37	37				37	27	26	41	37			
Case Rep Cardiol	51	51				51	30	22.5	34.5	51			
Case Rep Crit Care	40	40				40	30	25.5	40	40			
Case Rep Dent	230	230				230	35	26	54	230			
Case Rep Dermatol Med	50	50				50	40	30	52	50			
Case Rep Emerg Med	66	66				66	32	24	47	66			
Case Rep Endocrinol	71	71				71	34	25	45.5	71			
Case Rep Gastrointest Med	84	84				84	28	24	34	84			
Case Rep Genet	38	38				38	29	21	46	38			
Case Rep Hematol	95	95				95	38	26.5	47	95			
Case Rep Infect Dis	82	82				82	39	28	55	82			
Case Rep Med	369	369				369	77	57	104	369			
Case Rep Nephrol	37	37				37	29	22	41	37			
Case Rep Neurol Med	115	115				115	31	22.5	40	115			
Case Rep Obstet Gynecol	189	189				189	33	26	44	189			
Case Rep Oncol Med	141	141				141	33	25	44	141			
Case Rep Ophthalmol Med	75	75				75	30	23	43	75			
Case Rep Orthop	178	178				178	34	25	50	178			
Case Rep Otolaryngol	159	159				159	36	25	49.5	159			
Case Rep Pathol	86	86				86	29	24	34	86			
Case Rep Pediatr	108	108				108	29	23	40.5	108			
Case Rep Psychiatry	33	33				33	31	22	42	33			
Case Rep Pulmonol	44	44				44	32	25.5	38	44			
Case Rep Radiol	90	90				90	28.5	23	42	90			
Case Rep Rheumatol	50	50				50	28	22	39	50			
Case Rep Surg	191	191				191	35	27	48.5	191			
Case Rep Transplant	52	52				52	29	23	39	52			
Case Rep Urol	171	171				171	38	26	58	171			
Case Rep Vasc Med	66	66				66	38	24	52	66			
Case Reports Hepatol	36	36				36	28.5	19	36	36			
Case Reports Immunol	11	11				11	37	31.5	60	11			
Caspian J Intern Med	27	27				27	106	58.5	149.5	27	653	104.5	
Catal Letters	3	3				3				3			
Catheter Cardiovasc Interv	492	492	267	205	350.5	492	116	77	175	492	385	308.5	507.5
Cell	255	255	37	30	46.5	255	180	128	253	255	192	148.5	247.5
Cell Biochem. Funct.	76	76	271	180.5	303	76	91.5	60	133	76	375.5	279	412.5
Cell Biol. Int.	247	247	131	102	147	247	67	47	102.5	247	203	157	250
Cell Biol. Toxicol.	23	23	67	55	76	23	129	73	152	23	188	147.5	206
Cell Biosci	29	29				29	55	37	123	29			
Cell Calcium	91	91	85	71.5	98	91	71	43	135	91	172	120	291.5
Cell Commun. Signal	52	52				52	103.5	69	143	52		79	
Cell Death Differ.	94	94	126	112	160	94	151	108	187	94	287.5	251	326
Cell Death Dis	85	85				85	106	70	173	85			
Cell Div	10	10				10	122.5	82	127	10			
Cell Host Microbe	51	51	40	33	50	51	136	95.5	167	51	170	141	211
Cell J	50	50	137	71		50	197.5	118	242	50	314.5	276	345
Cell Logist	11	11				11	33	17	48	11			
Cell Metab.	80	80	39	26.5	50	80	179.5	149	211	80	218	184	256
Cell Mol Bioeng	5	5	113	16	113	5	95	95	120	5	208	136	208
Cell Prolif.	34	34	129	118	138	34	72	54	86	34	194	184	217
Cell Regen (Lond)	10	10				10	68	30	111	10			
Cell Rep	286	286	48	42	55	286	160	118	220	286	210	160	268
Cell Res.	31	31	103	66	120.5	31	94	68.5	106	31	191	136	243.5
Cell Stem Cell	84	84	71	56	81.5	84	195	149.5	318	84	268	210.5	396.5
Cell Stress Chaperones	91	91	194	177	213.5	91	52	36.5	72	91	246	218.5	284
Cell Tissue Bank	53	53	348	296	373	53	103	76	149	53	444	392	499
Cell Tissue Res.	252	252	117	90.5	157	252	87	58	114	252	216.5	186	266
Cell. Immunol.	107	107				107	151	110	198	107		116	
Cell. Microbiol.	145	145	164	112	181	145	83	49	133	145	242	175	301
Cell. Mol. Biol. (Noisy-le-grand)	16	16				16	65	35	410	16		641	
Cell. Mol. Biol. Lett.	30	30	52	45	79	30	161.5	131	163	30	214	197	229
Cell. Mol. Immunol.	48	48	129	102	165	48	55.5	8	132	48	213.5	154.5	285
Cell. Mol. Life Sci.	291	291	200	161	245	291	90	60.5	133	291	311	254	359
Cell. Mol. Neurobiol.	131	131	92	77.5	109.5	131	72	52.5	99	131	169	144	202
Cell. Physiol. Biochem.	1	1				1				1			
Cell. Signal.	302	302	94.5	84	106	302	42	19	78	302	138.5	111	187
Cells	20	20				20	56.5	35.5	79.5	20			
Cent European J Urol	85	85				85	64	38	98	85		171	
Cent Nerv Syst Agents Med Chem	6	6		135		6	63	42	77	6		263	
Cerebrovasc. Dis.	205	205				205	93	59	125	205		80	
Chem Asian J	433	433				433				433	136	118	158
Chem Biol Drug Des	81	81	124	115	138	81	108	74	139	81	228	209	273
Chem Cent J	145	145				145	76	53	99	145			
Chem Eng J	1	1				1				1			
Chem Mater	7	7				7				7	76	72.5	86.5
Chem Rec	17	17				17				17	144	142	150
Chem. Biodivers.	102	102				102				102	241.5	165	336
Chem. Biol.	97	97	65	45	80	97	98	68	150	97	162	126	219
Chem. Biol. Interact.	163	163	75	68	89.5	163	108	79	158	163	186	157	237
Chem. Phys. Lipids	80	80		75		80	78	52	139	80		214.5	
Chembiochem	295	295				295				295	107	88	133
ChemCatChem	4	4				4				4			
Chemistry	2227	2227				2227				2227	150	118.5	185
ChemistryOpen	21	21				21				21	83	66	105
ChemMedChem	211	211				211				211	117	97	133.5
Chemosphere	1226	1226	117	94	146	1226	134	96	180	1226	258	220	299
Chemother Res Pract	11	11				11	55	44	90	11			
Chemotherapy	99	99				99	127	101.5	151	99			
Chemphyschem	530	530				530				530	146	123	177
Chempluschem	2	2				2				2			
ChemSusChem	324	324				324				324	144	119.5	181
Child Abuse Negl	158	158	164	130	213	158	164	97	232	158	346.5	261	447
Child Adolesc Psychiatry Ment Health	19	19				19	132	91.5	156.5	19		73.5	
Childs Nerv Syst	267	267	127	95	160	267	38	15.5	75.5	267	161	126	245
Chin J Integr Med	130	130				130				130	475.5	250	727
Chin J Nat Med	58	58				58				58	340.5	215	384
Chin Med	17	17				17	201	160	254	17		114	
Chin. J. Cancer Res.	40	40	40	20.5	214	40	32.5	28.5	44	40	75	36	139
Chir Main	71	71	70	54	99	71	130	99	197	71	219	190	275
Chirality	104	104	160.5	135	194.5	104	60	40	90.5	104	239.5	191	287
Chiropr Man Therap	29	29				29	111	72	202	29		86	
Cholesterol	19	19				19	53	42.5	62	19			
Chonnam Med J	9	9	47	26	68	9	29	26	44	9	80	80	97
Chromatographia	15	15				15	104	89.5	124	15	192	22	
Chromosoma	51	51	113	87	137.5	51	82	51	124	51	194	154	238
Chromosome Res.	39	39	40	33	64	39	73	54.5	82.5	39	134	87.5	144
Cien Saude Colet	164	164	265.5	103.5	431	164	57	30	91.5	164	327	161	503
Cilia	10	10				10	89	40	133	10		121	
Cir Esp	125	125	304	222	412	125	68	27	148	125	421	287	528
Clin Anat	120	120	319	195	393	120	106	51	178	120	432	312.5	571.5
Clin Cardiol	121	121		97		121		58		121	165	138	192
Clin Case Rep	5	5	50	45	51	5	39	37	66	5	88	86	101
Clin Colorectal Cancer	26	26	166	138	186	26	136	100	152	26	295.5	258	311
Clin Cosmet Investig Dent	2	2				2				2			
Clin Endosc	83	83	200	53	261.5	83	51	24	85.5	83	203	68.5	338
Clin Epidemiol	3	3				3				3			
Clin Epigenetics	8	8				8	70	60.5	102	8		81.5	
Clin Exp Optom	80	80	276.5	220	313	80	125.5	82	174.5	80	413	342	480
Clin Exp Otorhinolaryngol	24	24	337	255	987	24	109	73.5	158	24	465.5	366.5	1133
Clin Exp Reprod Med	15	15	85	32		15	55	31	77	15	90	45	128.5
Clin Exp Vaccine Res	13	13	44	34	49	13	26	15	28	13	61	52	71
Clin Genitourin Cancer	67	67	200	151	227	67	87	63.5	118.5	67	291	257	324.5
Clin Imaging	215	215				215	122	77	173.5	215			
Clin Interv Aging	13	13				13				13			
Clin Invest Med	7	7				7				7			
Clin Investig Arterioscler	21	21				21	12	5	17	21			
Clin J Gastroenterol	12	12		67		12	103.5	74	136	12		153	
Clin Kidney J	15	15	91	76	99	15	56	43	218	15	142	133.5	302
Clin Lung Cancer	117	117	194	135	248	117	102	65	125	117	296	268	328
Clin Lymphoma Myeloma Leuk	127	127	151	124	180	127	98	63	139.5	127	261	225	286
Clin Med Insights Case Rep	2	2				2				2			
Clin Mol Allergy	1	1				1				1			
Clin Mol Hepatol	21	21	93	24	329	21	90	67	125	21	160	112	384
Clin Neurol Neurosurg	409	409	221	113	277	409	166	105	245	409	375	277	496
Clin Neurophysiol	294	294	183	165	198	294	139	104	213	294	328.5	278	413
Clin Neuroradiol	31	31	374	311.5	459	31	94	66.5	155.5	31	461	392	537
Clin Nutr	154	154	289.5	254	329	154	150.5	102	199	154	444.5	378	511
Clin Nutr Res	11	11	17	11.5		11	19	15	26.5	11	30	26	82
Clin Obes	29	29	126	71		29	132	84	147	29	185	115	258
Clin Oncol (R Coll Radiol)	88	88	140	107	178	88	122.5	84	178	88	262	208.5	350.5
Clin Ophthalmol	13	13				13				13			
Clin Oral Implants Res	2	2				2				2			
Clin Oral Investig	257	257	287	260	318	257	184	135	274	257	467	416	534
Clin Orthop Surg	52	52	210	169	267	52	103.5	71	164.5	52	352	252.5	456
Clin Pediatr Endocrinol	6	6	79.5	31	93	6	112	72	122	6	152	143	192
Clin Physiol Funct Imaging	91	91	192	175.5	205	91	119	82.5	166	91	321	273.5	384
Clin Pract	41	41	100	50	143	41	91	62	113	41	163	114	239
Clin Pract Epidemiol Ment Health	41	41				41	84	47	157	41			
Clin Proteomics	9	9				9	161	77	176	9		74	
