Jname	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
J. Cardiovasc. Electrophysiol.	149	137.5	159.5	63	36	97	213	185	259
J. Cell. Biochem.	168	158	177	65	13	152.5	235	186.5	325.5
J. Cell. Mol. Med.	93	79	106.5	127	91	162	217	180	260
J. Cell. Physiol.	201	191	214	43	10	85	255	212	312
J. Cereal Sci.									
J. Cereb. Blood Flow Metab.	111	105	122	93.5	75	136	207	175	248
J. Chem. Ecol.	31	24	47	116	67	145	151	107	194
J. Chem. Neuroanat.	62	40	82	95	53	135	167	128	211
J. Chromatogr. B Analyt. Technol. Biomed. Life Sci.	64	57	74	105	73	150	175	142	224
J. Clin. Immunol.	112	96	130	86	57	119	197	178	232
J. Clin. Invest.	81	73	88	148	107	190	228	188	269
J. Clin. Lab. Anal.	146	88	157	135	86	266	286	216	388
J. Clin. Periodontol.	107	100	116	129	72	202	229	175	317
J. Clin. Virol.	106	84	118	87	64	122	201	172	238
J. Comp. Neurol.	202	173	212.5	152	92	222	346	274	426.5
J. Comp. Pathol.	257	221		117	88.5	169	437	328	
J. Comp. Physiol. A Neuroethol. Sens. Neural. Behav. Physiol.	87	76	116	99	68	147	202	166	262
J. Comput. Aided Mol. Des.		25		110	72	147	101	73	161
J. Contam. Hydrol.	79	70	90.5	190	143	272.5	268	224.5	363
J. Cutan. Pathol.	129.5	103	288	98.5	63	202	226.5	168	525
J. Cyst. Fibros.	223.5	195.5	250	90.5	67	124	312.5	275	367
J. Dairy Sci.	100	91	109	125	89	170	225	189	270
J. Dermatol.	122.5	104	138	56	31	112	188	154	226
J. Dermatol. Sci.	117	88	133	140	99	190	255	208	308
J. Diabetes Complicat.				97	64	134			
J. Ecol.									
J. Environ. Manage.	112.5	94	138	202	135.5	308.5	327.5	254	413.5
J. Eukaryot. Microbiol.				87	55	150			
J. Evol. Biol.	115	101	126	96	65	130	212	184	261
J. Exp. Clin. Cancer Res.				45	33.5	67			
J. Exp. Zool. B Mol. Dev. Evol.	117.5	90	163	136	114	183	261	213	346
J. Fish Biol.	83	76	97	166	115	231	259	197	323
J. Fish Dis.	296	233	389	84	59	120	381	291	481
J. Food Sci.	82	70	97	107.5	77	168	195	152	254
J. Forensic Sci.	393	372	427	159.5	116.5	228	571	510	635
J. Formos. Med. Assoc.	237	65.5	476.5	123	58	192.5	337	199.5	639
J. Gastroenterol.	300	240	330	83	47.5	137	399	343	442.5
J. Gastrointest. Surg.	95	76	136	89	55	131	201	167	232
J. Hazard. Mater.	84	72	99	102	78	147	194	157	246
J. Heart Lung Transplant.	86.5	75	103	120	81	149	210.5	168	237
J. Hepatol.	133	120	143	111	68	165	246	202	300
J. Hosp. Infect.	95	84	119	143	88	177	236	200	290
J. Huazhong Univ. Sci. Technol. Med. Sci.							208.5	148.5	291
J. Hum. Evol.	98	80	116	174.5	119	330	279	208	455
J. Hum. Genet.	101	84	119	103	73	141	222	165.5	245
J. Immunol. Methods	106	97	118	79	53	127	189	155	237
J. Ind. Microbiol. Biotechnol.	88	78	97	76	54	116	163	138	215
J. Infect.	110	100	125	85	62	127	192	170	249
J. Infect. Chemother.	227	203	258	77	56	112	300	263.5	358.5
J. Inherit. Metab. Dis.	241	171	281.5	75	55.5	124	330	215	393
J. Inorg. Biochem.	107	97	118	105	75	138	217	184	276
J. Insect Physiol.	66	56	73	86	63	125	154	130	200
J. Invertebr. Pathol.	82	69.5	110	99.5	72	151.5	201.5	158	267
J. Invest. Dermatol.	208	189	224	128	97.5	167	341	303.5	389.5
J. Korean Med. Sci.	61	48	72.5	122	90.5	161	188	148.5	236
J. Magn. Reson.	74	67	86	74	53	112	160	126	190
J. Med. Dent. Sci.		14		58.5	50	113		64	
J. Med. Internet Res.				123	73	166.5		98	
J. Med. Virol.									
J. Membr. Biol.	54	30	131	113.5	79	146	187.5	143	264
J. Microbiol.	143	108	160	84	50.5	117	229	170	262
J. Microbiol. Biotechnol.									
J. Microbiol. Methods	70	59	82	63	36	88	136	99.5	169
J. Mol. Biol.	105	90	120	73	52	106	188	154	237
J. Mol. Cell. Cardiol.	86	76	111	115	66.5	152	214.5	167	248.5
J. Mol. Evol.	41	23	64.5	125	74	157	155	111	165
J. Mol. Graph. Model.	58	34	69	92	70	129	155.5	130	189
J. Mol. Histol.	165	132	202	60	43	74	241	198	256
J. Mol. Med.	132.5	77	151	99.5	56	150	232.5	136	294
J. Mol. Neurosci.	147	116	207	49	34	82	215	167	255
J. Mol. Recognit.	113	106	127	88	50	129	198	153	263
J. Morphol.	161	148	175.5	140	77	189	297	245	345.5
J. Muscle Res. Cell. Motil.	68	37	98.5	64	29	79	135	79.5	171
J. Nematol.							171	136	291.5
J. Neurochem.	94	76	140.5	75	48	119	186	145	231.5
J. Neuroendocrinol.	92	69.5	151	150	94	174.5	239	195	288
J. Neuroimmunol.	91	84	103	88	59	148	184	154	246
J. Neurol.	136	103	163	63	36	90	202	169	255
J. Neurol. Sci.	91	81	103	82	57	123	179	142	237
J. Neurooncol.	78	66	86	127	99	159.5	202	171	241
J. Neurosci. Methods	87	78	104	97	62	140	184	154	237
J. Neurosci. Res.	151	130	166	102	74	131	253	222	294
J. Neurovirol.	52	41.5	63	97	62	132	148	116	205
J. Nutr. Biochem.	238	189	299	151	118	198	392	321	495
J. Obstet. Gynaecol. Res.	256	216	271	124	86	178	381.5	337	419.5
J. Oral Maxillofac. Surg.	166	137	187	85	49	125	252	211	303
J. Orthop. Res.	151	143.5	171	147	102	194	300	261	360
J. Pathol.	110	96	131	84	30	127	202	131	254
J. Pediatr.	162	138.5	187	122	83.5	164	291	233	330
J. Pediatr. Endocrinol. Metab.		96		87.5	57.5	114.5	222	82	
J. Pediatr. Surg.	86	79	131	37	13	102	115	97	276
J. Pept. Sci.	80	73	93	73	49	120	153	132	200
J. Perianesth. Nurs.	87	73	290.5	28.5	9	184.5	108.5	85	467.5
J. Peripher. Nerv. Syst.	33	31	40	97	64	165	148	106	205
J. Pharm. Pharmacol.	115	100	139	124	92	162	249	203	297
J. Physiol. (Lond.)									
J. Physiol. Biochem.	241	204	262	136.5	112	183	376	335	440
J. Physiol. Paris	273	92		124	68	195	417	295	
J. Physiol. Pharmacol.		20		127.5	100	181	116.5	86	163
J. Pineal Res.	135	110.5	167.5	59	35.5	91	215	161	232.5
J. Plant Physiol.	153	138	161	103	70	129	248	221	286
J. Plant Res.	197	174	209	122	84	170.5	320.5	278.5	391.5
J. Reprod. Immunol.	107	74	172.5	117	73	158	211	197	286
J. Sci. Food Agric.	201	163	230	141	94	191	343	286	404
J. Steroid Biochem. Mol. Biol.	214	138	273	116	84	155	354	275	362
J. Struct. Biol.	68	52	87	92	71	126	170.5	134	214
J. Struct. Funct. Genomics	60.5	22		76	48	133	129.5	98	169
J. Surg. Res.	178	154	214	85	58	119	267.5	238	331.5
J. Theor. Biol.	120	108	130	161.5	117	214	284	236	338
J. Therm. Biol.	96	80	98	149	108	185	231	193	283
J. Thorac. Cardiovasc. Surg.	168	117	325	104	67	155	322.5	213	458
J. Thromb. Haemost.	81	67		128	74		177	140	214
J. Urol.	173	161	201	0	0	65	173	161	206
J. Vasc. Res.				127	89	175		197	
J. Vasc. Surg.	191	174	221	77	58	111	280	247	353
J. Vet. Intern. Med.				181	132	238.5			
J. Vet. Pharmacol. Ther.	273.5	225	317	130	90	185	411.5	365	497
J. Vet. Sci.	233	92		141	90	228.5	296	134.5	452
J. Viral Hepat.	241	215	266.5	62	49	93	302.5	276	362
J. Virol. Methods	108	93	127	149	111	198	266	215	321
J. Wildl. Manage.									
J. Zool. (Lond.)									
JACC Cardiovasc Imaging	150	95	183	86.5	42.5	126	236	163	284
JACC Cardiovasc Interv	125	107	142	71	25	100	187	172.5	222
JACC Heart Fail	98	82	132	70	26.5	102	168	121	223.5
JAKSTAT	119	67	150	38	19	65	132	75	189
JIMD Rep	210	125.5		82	50	142.5	277	137	404.5
JMIR Med Inform									
JMIR Mhealth Uhealth				133	106	159.5			
JMIR Res Protoc				103	72	160	117.5	50	
Joint Bone Spine	255	224.5	288.5	75	50	113.5	343	291	396
JOP	29.5	20	50	60	18	92	97.5	56	131
Jpn J Nurs Sci	447.5	443	463	195.5	122	288	643.5	602	744
Jpn J Radiol	84	62	102	84	59	129.5	168	139	220.5
Jpn. J. Ophthalmol.	123	97	144	172	135.5	219	295.5	250	349
Jundishapur J Microbiol									
Jundishapur J Nat Pharm Prod	107	74.5		105	56.5	128	228	192	
Kaohsiung J. Med. Sci.	358	305	408	81	55	121	439	386	525.5
Kardiol Pol					1				
Kidney Blood Press. Res.									
Kidney Int.	218	194	238	140	85	213	356	305	426
Knee	197	134	276	185	127	273	391	327	514
Knee Surg Relat Res	49	43	65	125	84	195	190	135	253
Knee Surg Sports Traumatol Arthrosc	349	248	420	164	115	214	523	398	622
Korean Circ J	130	43	170	78	54	111	213	145	246
Korean J Anesthesiol	180	146	257	72	57	105.5	261	218.5	361
Korean J Audiol	24	16	66	91.5	52	122.5	129	84.5	155
Korean J Fam Med	32	6.5		368	163	505.5	372	172.5	507.5
Korean J Ophthalmol	325	277	547	123	67	163	479	400	617
Korean J Orthod	137	121.5	188	67	50	123	249	178.5	281
Korean J Pain	81	45.5	98.5	28	15.5	65.5	123	79.5	145.5
Korean J Pathol	52	28.5	213	51	27	58.5	105	62	248.5
Korean J Pediatr	137	71	214	105	43	146	237	177.5	316.5
Korean J Radiol				125	75.5	190			
Korean J Spine		26		68	59	93	77	47	108
Korean J Thorac Cardiovasc Surg	171	146	196	72.5	38	111	250.5	220	270
Korean J Urol	75	63	145	61	35	91	154	112	218
Korean J. Intern. Med.	257	96	383	77	32	136	346	154	527
Korean J. Parasitol.	49	41	72	75	63	105	137	114	186
Korean J. Physiol. Pharmacol.	46.5	25	61.5	91	56.5	128	138.5	76	175
Lab Anim (NY)	169	156	184	85.5	59	127	263	224	292
Lab Anim Res	44.5	11		61	36	82.5	93	41	103
Lab. Invest.	70	61	79	130	95	181	186	166	250
Labour Econ									
Lang Cogn Process									
Langenbecks Arch Surg	65	42	97.5	117	69	153.5	189	132	254.5
Laryngoscope	237	204.5	275	84	53	136	332	283	401
Laser Photon Rev									
Laser Ther				40	26	80			
Lasers Med Sci	300	256	363	140	80	199	460	380	577
Learn Individ Differ									
Leg Med (Tokyo)	156.5	102.5	182	78	39.5	135.5	231	200.5	301
Lett. Appl. Microbiol.	107.5	90	119	91.5	66	138	198	169	249
Leuk Res Rep				77	57	92.5		86.5	
Leuk Res Treatment				78	65.5	145.5			
Leuk. Res.	103.5	86	120	86	56	142	198	169	238
Leukemia	178	143	214	73	38	128	254	192	300
Libyan J Med				60.5	24	107			
Life (Basel)				56	41	74			
Life Sci.	66	61.5	75	124	86	160	190	158	229
Lifetime Data Anal	178	126.5	266	291	206	351	461	363	640.5
Limnologica									
Linear Algebra Appl									
Lipid Insights									
Lipids	79	60	103	117	62	166.5	198	136.5	252
Lipids Health Dis				52	38.5	84.5			
Liver Int.	152	123	213	133	96	178	284	233	380
Liver Transpl.	95	86.5	108	104	82	148	211	178.5	249.5
Longev Healthspan		38		106	74	140	312	144	
Luminescence		386		110	81.5	139		529	
Lung	97	83	107	99	71	125	195	158.5	231
Lung Cancer	100.5	88	115.5	98	71	131	198	171.5	231.5
Macromol Biosci							175	154.5	202
Macromol Rapid Commun							126	107	143
Macromolecules							105	91	202
Maedica (Buchar)		44		106.5	52.5	231.5	175.5	94	285
MAGMA	263	228	284	147	107	200	396.5	358	462
Magn Reson Chem	84.5	73	96	70.5	43	114	155	135	196
Magn Reson Imaging	162	123	193	146	108	204	293	261	374.5
Magn Reson Med	347	331	359.5	117	88.5	161.5	461.5	409.5	509
Magy Onkol	22	18	58	39	14	39	57	57	141
Malar Res Treat				88	71	124			
Malar. J.				94	64	125		77	
Malays J Med Sci	64.5	33.5	118.5	124.5	89	255	210	159	321
Mamm. Genome	87	64	107	95	65	125.5	176	154	206
Man Ther	227	203	256	185	112	252	412	352	488
Mar Drugs	18	8	31	47.5	32	61	60	42	75
Mar Genomics	105	78	162	65	38	93	183.5	88	255
Mar. Biol.	99	83	198	137	117	222	282	105	326
Mar. Biotechnol.	227	201	258	157.5	117	242	409	359	487.5
Mar. Environ. Res.	103	82		79	66.5	99	203	167	
Mar. Pollut. Bull.	90	80	99	99	67	147	191.5	160	240
Mass Spectrom (Tokyo)		180		62	41	81	90	47	
Mass Spectrom Rev				101	79	128.5			
Mater Sci Eng A Struct Mater									
Mater Sci Eng C Mater Biol Appl	118	105	135	137	100	198	262	217	323
Mater Sociomed				57.5	45	84			
Math Biosci	79	69	95	247	164	350	321	256	445
Matrix Biol.	135	111.5	157	79.5	44.5	120	212	179.5	318
Maturitas	83	74	92	44	7	93	129	93.5	175.5
Mayo Clin. Proc.	104.5	73	139.5	66	44	91	169.5	140	217
Meat Sci.	148	130	165	161.5	104	244	320	263	389
Mech. Ageing Dev.		57		115.5	87.5	142.5		251	
Mech. Dev.		216		140	62	192		397	
Med 2 0				196	182	196			
Med Biol Eng Comput	134	117	148	150	99	217	292	239.5	371.5
Med Chem	282	235	327	221	162	269	477	454	543
Med Chem Res	249	171.5	273.5	226	135.5	291.5	339	304	468.5
Med Clin (Barc)	227	153.5	349	57.5	23	86	288	179	439
Med Devices (Auckl)									
Med Dosim		111.5		242	160.5	324.5	282	176	324.5
Med Educ	170.5	161	195.5	115.5	79.5	140.5	289.5	256	324
Med Educ Online				29	10	67.5			
Med Eng Phys	219	168	287	231.5	184	285	468	387	559
Med Gas Res				73	49.5	88			
Med Glas (Zenica)	162	136.5	196.5	67	46.5	100.5	238	187	308
Med Image Anal	124	105	160.5	259	149	329	372	284.5	456
Med Intensiva	403	234		65.5	16	113	501.5	326	
Med J Armed Forces India	253	164	328	202	119	389	489	394	586
Med J Islam Repub Iran	159.5	129	176	108	76	132	272	226	291
Med J Nutrition Metab									
Med Klin Intensivmed Notfmed	66	50.5	97.5	28	5	138	87	70	225
Med Mal Infect	57	34	74	116	71.5	191.5	175	118	262
Med Mol Morphol	383	290	413	70	52.5	100	458	353	520.5
Med Mycol Case Rep	9.5	9	20	46	29.5	65.5	60.5	45	96
Med Oral Patol Oral Cir Bucal	190.5	137.5	207.5	122	91	183	305.5	262.5	406.5
Med Princ Pract		145		147	92	190	279.5	153	429
Med. Hypotheses	89	77	98	104.5	57	152.5	196	146	238.5
Med. J. Aust.	75	42	138	146	93	183	242	161	396
Med. Microbiol. Immunol.	161	142	178	107	87	131	260	228	338
Med. Oncol.	112	82		20	11	39	142	107	
Med. Vet. Entomol.	387	366	422	132.5	91	188	535	480	544
Medchemcomm									
Mediators Inflamm.				71	51.5	96.5			
Mediterr J Hematol Infect Dis				70	42	89			
Mem. Inst. Oswaldo Cruz	109.5	79	186.5	127	86	187.5	266.5	206	361.5
Membranes (Basel)				56	37	76			
Mens Sana Monogr	21	18	36.5	100.5	54	201.5	121.5	73	299.5
Ment Health Fam Med				118	87	154.5	133	95.5	
Ment Illn	104.5	12		140.5	76	431	289.5	135	500
Meta Gene	70	66	80	1	1	16	75.5	71	82
Metab Brain Dis	146	98	203	58	44	81	222	171	267
Metab. Clin. Exp.	151	135	170	111	72	143	260	231	300
Metab. Eng.	74	51	104	166	98.5	203.5	248	186	290.5
Metabolites				59	39.5	73			
Metabolomics	462.5	182		88	50	114	354.5	212	
Methods	105	74	176	89	63	155.5	237	164	279
Methods Inf Med		90		181	141	252	214	67	364
Microb Biotechnol	145	124	216	66.5	31	104	222	169	319
Microb Inform Exp									
Microb. Cell Fact.				82.5	54	115			
Microb. Ecol.	114.5	81	146	115	80	165	237.5	187	302
Microb. Ecol. Health Dis.				91	84	124		72	
Microb. Pathog.	131	80		95	62	139	317	176	
Microbes Infect.	86	71.5		120.5	71	164	252	175	
Microbiol. Immunol.	67	48	77	91	61	130	159	115	193
Microbiol. Res.	200	183	222	83	46.5	118	308	246	347.5
Microbiologyopen	86	71	107	78	53	113	160	130	198.5
Microbiome		163		115	78.5	135	250	41	
Microcirculation	162.5	144.5	191.5	92.5	62.5	148	264	232	320
Micron	96.5	77	198	94	49	162	227	155	377
Microporous Mesoporous Mater									
Microrna				160.5	131	216	238	81	
Microsc. Res. Tech.	91	85	101	52.5	37	76	146	129	180
Microsurgery	176	130	227	111	74	159	291	235	367
Microvasc. Res.	85	68	104	109	77	149	195	152	247
Middle East J Dig Dis	20.5	6	23.5	58	47	65.5	78	63.5	97.5
Midwifery	326	191.5	366	151	109.5	220.5	489	350	548.5
Mikrochim Acta	78	55		104	77	108.5	182	132	
Mini Rev Med Chem	122	68	289.5	118.5	89	192	300	184	452.5
Mini Rev Org Chem									
Minim Invasive Surg				142	80	185			
Mitochondrion	96	65.5	177	138	89	181	272	198	328.5
Mob DNA				92.5	66	118		129	
Mob Genet Elements				53	33	69	74	20	
Mod Rheumatol	324	295	342	93.5	68.5	121	411	364	456
Mod. Pathol.	219	204	241	78	60	101	298	277	337
Mol Autism				126	73	215		84	
Mol Biol Int				70	67.5	85.5			
Mol Brain				46.5	29	90		80	
Mol Clin Oncol	84	67	118	125.5	76	152	214.5	176	241
Mol Cytogenet				44	26.5	65.5			
Mol Ecol Resour	124	94.5	144	96	75	150.5	228	185.5	334
Mol Genet Genomic Med	103	75	116	75.5	54	91	170	134	220
Mol Imaging Biol									
Mol Imaging Radionucl Ther	116.5	92	313.5	54.5	36.5	145.5	214	169	502.5
Mol Inform	64	17	64	62	44	66	108	108	109
Mol Med Rep	66	55	79	115	98	131	180	163	208
Mol Metab				13.5	7	23			
Mol Neurodegener				101.5	77	141		91	
Mol Nutr Food Res	167	135	195	89	63	117	255	222	290
Mol Oncol	114	83.5	143	48	26	79.5	179	127.5	202.5
Mol Oral Microbiol									
Mol Pain				91	68.5	150			
Mol Ther Nucleic Acids				130	34	157.5			
Mol. Aspects Med.		377		81.5	37	125		400	
Mol. Biochem. Parasitol.	33	18	40	133	78	174	161	110	200
Mol. Biol. Rep.	64	47	89	211	138.5	257.5	261	211	327
Mol. Biotechnol.									
Mol. Breed.	152	86		105	91	183	298	191	
Mol. Cancer				114.5	84	160			
Mol. Carcinog.	535	467	552	122	97	148	648	572	684
Mol. Cell	62	51	72	149	99	224	203	159	300
Mol. Cell. Biochem.	101	94	109	95	69.5	130	197	170	232
Mol. Cell. Endocrinol.	106.5	87	147	122.5	75	157	242	197	291
Mol. Cell. Neurosci.	89	56.5	148.5	152	99	204.5	263	199.5	352
Mol. Cell. Probes				71	42	113			
Mol. Cells	53	42	65	67	28	105	122	75	159
Mol. Divers.	77	51.5	106.5	95	79	116	179	148	216
Mol. Ecol.	97	84.5	108	111.5	80	237	222	179	343.5
Mol. Genet. Genomics	81	57	94	129.5	86	170	220	155	255
Mol. Genet. Metab.	74	62	90	36	9.5	51	117	89	142
Mol. Immunol.	197	174	205.5	52	29	84	254	209	285
Mol. Med.				95	53	166.5			
Mol. Neurobiol.	175	148	216	55	41	75	227	199	284
Mol. Phylogenet. Evol.	116	96	134	147	103	198	271	215	324
Mol. Psychiatry	387	341	422	140	99	185	514	472	575
Mol. Reprod. Dev.	62	53	84	105	67	145	179.5	130.5	224.5
Mol. Syst. Biol.				129	91	189	161	70	
Mol. Ther.	110	96	131	121	78.5	166	241	186	286
Mol. Vis.				177	137	232	324	85	
Molecules				43	32	58			
Morphologie									
Mov Ecol				86	68	135			
Mov. Disord.	119	78	155	114	68	166	244.5	165	316
Mucosal Immunol	259	248	269	142	102.5	225	413.5	361.5	479.5
Mult Scler Int				83	68	117		25	
Multidiscip Respir Med				76.5	44.5	120		80.5	
Muscle Nerve									
Musculoskelet Surg	119.5	85	287	94	48	193	235	161	553.5
Mutat Res Fundam Mol Mech Mutagen									
Mutat Res Genet Toxicol Environ Mutagen	206	206	208	2	2	3	209.5	208	216.5
Mutat Res Rev Mutat Res									
Mutat. Res.	114.5	77		128	97	187	291	200	
Mycobiology	54	40.5	70	41	31	72	95	85.5	113
Mycopathologia	95.5	66.5	118	122.5	95.5	176	236	189	267.5
Mycorrhiza	193.5	170	207	89.5	71	118	285.5	255	322
Mycoses	192	162	224	74	60	117	268	223	340.5
Mycotoxin Res	92	81	141	86	44.5	135	211	176	226.5
N Biotechnol	146	80	244	115	75	171	285	153	427
Nano Rev									
Nanomedicine	186	166	222.5	141	86	180	332	272	390
Nanoscale Res Lett				47	33	68		52	
Nat Chem	73	62	82	125	95	161	205	163	249
Nat Commun				135	94	182		109	
Nat Mater	102	85	111	148	105	196	255	209	293
Nat Nanotechnol	54	42	65	155	104	201.5	199	162	262
Nat. Biotechnol.	49	40	69	113	80	165	164	125	224
Nat. Cell Biol.	60	52	71	159	114	224	227	175	286
Nat. Chem. Biol.	78	69.5	85.5	140	91.5	196.5	218	177.5	273.5
Nat. Genet.	62	53.5	69	144	111.5	204.5	215	177	262
Nat. Immunol.	75	65.5	82	73	51.5	108	148	125.5	182.5
Nat. Med.	68.5	60	94	118.5	75	203	184	144	273
Nat. Methods	66	57	77	123.5	84	172	188.5	146	238
Nat. Neurosci.	61	54	70.5	84.5	58	119	143	123	188
Nat. Struct. Mol. Biol.	69	57	79	116	78	151	183	145	212
Nature	66	52	77	160	106	235	225.5	168	302
Naturwissenschaften	44	32	51	87	52	114	129	100	161
Naunyn Schmiedebergs Arch. Pharmacol.	103	81	114.5	94	67	125	196	163	244
Neonatology		123		99	70	128.5	217	67.5	
Neoplasia	67	48	75	68	47.5	120	135	102	177.5
Neotrop. Entomol.	113	84	127	149	102.5	251.5	254	204	377.5
Nephrol. Ther.	168	104	208	127	79	189	295.5	231	384
Nephron Clin Pract				173.5	125.5	222		83	
Nephron Exp. Nephrol.				163	102	247		170	
Nephron Physiol				61	25.5	125			
Nephrourol Mon	197	146	258	21	12	39	211	192	269
Netw Model Anal Health Inform Bioinform									
Neural Comput Appl									
Neural Dev				92.5	66	128.5			
Neural Netw	132	101	152.5	285	146.5	376	428	269	499
Neural Plast.				65	48	89			
Neural Regen Res	54	37.5	80	85	60.5	100.5	143	114	175.5
Neuro Endocrinol. Lett.				51	23	78			
Neurobiol Learn Mem	86	60	122	103	64	153	214.5	153	278
Neurobiol. Aging	179	164	197	133	67	181	325	243	385
Neurobiol. Dis.	130	108	146	110	82	150	244.5	200	291
Neurochem. Int.	77	57	89	122	84	152	192	153	242
Neurochem. Res.	82	69.5	96.5	92.5	65	124	182	154	209
Neurochirurgie	164	99	182	235	119	281	430	268	504
Neurocirugia (Astur)				88.5	79	119			
Neurodegener Dis	201	143.5	267.5	125.5	75	166	302	198	374
Neuroendocrinology		276		153	105	180	530	240	
Neuroepidemiology	162	91.5		91	46.5	139	288.5	166.5	
Neuroethics	572.5	462	690	134	57	212	715	516	914
Neurogastroenterol. Motil.	111	86	132	92	58	144.5	206	161	261.5
Neurogenetics	70	42	85	58.5	50	101	151	87	170
Neuroimage	149	125	177	111	84	153	273	229	333
Neuroimage Clin				85	63	110			
Neuroimmunomodulation		99		82	57	119	165	72	
Neurointervention	55	22	107	43.5	21	71	81.5	43	135
Neurol Int				91	72.5	153.5		213	
Neurol Res Int				110	75	175	29	23	
Neurol. Sci.	234	207	317	88	59	119	334	283	420
Neurologia	433.5	363		106	57	122.5	558	473	
Neuromodulation		330.5		116.5	80.5	181.5		419	
Neuromolecular Med.	100	66	155	97	62	150	202	161	244
Neuromuscul. Disord.	92	79	114	128	92	172	226	175.5	278.5
Neuropathol. Appl. Neurobiol.	207	100	238	46	40	51	259	128.5	300.5
Neuropathology	257	216	287	48	19	77	310	227	355
Neuropeptides	104	52	147	121	40	144	235	89	257
Neuropharmacology	169	136	228	101	73	147	289	245	338
Neurophysiol Clin	99	62	103	238.5	152	319	347	315	418
Neuropsychiatr		46		101.5	55	201	214	81	
Neuropsychiatr Dis Treat									
Neuropsychobiology				193	164	262	143	63	320
Neuropsychol Rev	28	24	36	56	45	76	84	71	177
Neuropsychologia	61	52	75	166	123.5	218	236	188.5	291
Neuropsychopharmacology	152	137	163	106.5	82	133	255	238	287
Neuroradiol J	72	29		67	32	115.5	91.5	43	138
Neuroradiology	96	82.5	112.5	84	58	98	181	156	209
Neurosci Biobehav Rev	92	65	174	134	96	181	253	191	336.5
Neurosci Bull	202	89	296	80	50	112	357	145	381
Neurosci. Lett.	70	59.5	82	78	53.5	113	153	123	192
Neurosci. Res.	96	67		89	61	120	202	158	
Neuroscience	108	93	124	88.5	59	122	200	165	244
Neurosignals	293	220	380	118	89	162	443	309	553
Neurosurg Rev	240	204	267	245	178	317	490	400	572
Neurotox Res	191	156	229.5	80	56.5	99.5	271	238.5	321.5
Neurotoxicol Teratol				117	68	156			
Neurotoxicology	73	57	91.5	87	65	137	173	136	213
Neurourol. Urodyn.	348	293	381	91	70	130	434	398	501
New Microbes New Infect	83	69	88.5	35	25	40.5	121	99	123.5
New Microbiol.	76	49.5	97	74.5	54	142	148	133.5	216
New Phytol.	116	104	129	55	41	75	167	150	201
Nitric Oxide	98.5	77	130	109	68	157	216	160	272
NMR Biomed	206	164	242	157	108.5	227	364	302	432
Nucl Instrum Methods Phys Res A									
Nucl Instrum Methods Phys Res B									
Nucl Med Mol Imaging	130.5	87	175	70.5	58	109	206	176	261
Nucl Med Rev Cent East Eur				0	0	0			
Nucl Phys A									
Nucl Recept Signal									
Nucl. Med. Biol.	111	94	128	68	35.5	91	176	148.5	211
Nuklearmedizin				120.5	92	166	205	121	
Nurs Crit Care	185	135	240	93.5	85	141	289.5	247	326
Nurs Health Sci	306	247	338	172	121	203.5	438	374.5	507
Nurs Midwifery Stud	51	40	86	48	21	71.5	118	100	140
Nurs Outlook				132	93	202.5			
Nurs Res Pract				71	54	108			
Nurse Educ Pract	183	105	224	210	187	298	413	292	518
Nurse Educ Today	262	216	328	128	91	182	419	338	476
Nutr Diabetes				168	87	183			
Nutr J				149	123	199		114	
Nutr Metab (Lond)				92	64	119		65	
Nutr Metab Cardiovasc Dis	343.5	209	520	136.5	105	188	518	332	696
Nutr Res	64.5	58	84.5	187	144	225	252	216	319.5
Nutr Res Pract	72.5	55	110	113	77	182	196.5	136	277
Nutrients	18	8		54.5	40	68	59	43	77
Nutrition	244	193.5		111.5	77	156.5	400	304.5	
Obes Facts	198.5	79.5		176	98	277	208.5	134.5	431.5
Obes Res Clin Pract				120.5	53	187.5			
Obes Rev	137	122	150	78	65.5	102	224	194	239
Obesity (Silver Spring)	238	202	280	175	99	267	405	325	491
Obstet Gynecol Int				99	52.5	146.5			
Obstet Gynecol Sci	107	78	137	83	47	105	187	143	242
Occup Ther Int	177	147	244.5	213.5	127.5	246.5	372.5	335.5	469.5
Ocul Surf	121	96	152	93	41	129	237	121	281
Odontology	407	384	446.5	110	86.5	196.5	560	493	624
Oecologia	208	157	232	256	177	358.5	410.5	347	525
Oman Med J	29	15	46.5	54.5	35.5	72	87	68	108
Onco Targets Ther									
Oncogene	385	371	402	140.5	100.5	180.5	526	478	581
Oncogenesis				51	30	102			
Oncoimmunology	59	46.5	72.5	4	1	8	65	52	85
Oncol Lett	79	69	94	122	87	152	204.5	169	235
Oncol. Rep.	98	86	117	54	40	72	157	136	179
Oncology				59	35	102		184	
Oncoscience									
Oncotarget									
Onderstepoort J. Vet. Res.				85	68	108	82	64	
Open AIDS J				87.5	34	119		46	
Open Biochem J	220	38		43	26	45	265	81	
Open Biomed Eng J				79	42	90.5		73.5	
Open Cardiovasc Med J				41.5	26	73			
Open Dent J				67	47.5	84			
Open Med		120.5		70	19	84.5		157.5	
Open Med Chem J				50	39	50			
Open Med Inform J				68	60	102.5		134	
Open Microbiol J				46	29	57			
Open Neuroimag J				91	39	100		163	
Open Neurol J				69	66.5	69			
