Jname	Jarticles	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Neurocirugia (Astur)	40			
Neuroimage Clin	192			
Neurol Int	27		213	
Neuromodulation	68		419	
Neuropsychiatr Dis Treat	18			
Neurotoxicol Teratol	73			
Nucl Instrum Methods Phys Res A	1			
Nucl Instrum Methods Phys Res B	2			
Nucl Med Rev Cent East Eur	20			
Nucl Phys A	3			
Nucl Recept Signal	1			
Nurs Outlook	55			
Nurs Res Pract	129			
Nutr Diabetes	13			
Nutr J	98		114	
Nutr Metab (Lond)	53		65	
Obes Res Clin Pract	48			
Obstet Gynecol Int	107			
Onco Targets Ther	6			
Oncogenesis	13			
Oncology	137		184	
Oncoscience	1			
Oncotarget	3			
Open AIDS J	10		46	
Open Biomed Eng J	24		73.5	
Open Cardiovasc Med J	34			
Open Dent J	44			
Open Med	8		157.5	
Open Med Chem J	9			
Open Med Inform J	8		134	
Open Microbiol J	34			
Open Neuroimag J	9		163	
Open Neurol J	12			
Open Nurs J	32		82	
Open Ophthalmol J	26		84	
Open Orthop J	155		67.5	
Open Respir Med J	18			
Open Rheumatol J	29			
Open Virol J	22		44	
Ophthalmic Surg Lasers Imaging Retina	85			
Opt Laser Technol	1			
Oral Radiol	2			
Org Electron	1			
Org Process Res Dev	2			
ORL J. Otorhinolaryngol. Relat. Spec.	53		87	
Orphanet J Rare Dis	98		122	
Orthop Rev (Pavia)	38		161	
Otolaryngol Pol	74			
Oxid Med Cell Longev	373			
Paediatr Respir Rev	4			
Pain Res Treat	33			
Palaeogeogr Palaeoclimatol Palaeoecol	2			
Pan Afr Med J	634		285	
Pancreatology	136			
Parasit Vectors	193			
Parasite	76			
Parkinsons Dis	39		94.5	
Part Fibre Toxicol	31			
Pastor Care Educ	3			
Pathobiol Aging Age Relat Dis	5			
Pathogens	18			
Patholog Res Int	20			
Patient Prefer Adherence	4			
Patient Saf Surg	25			
Pattern Recognit	1			
Pediatr Neurosurg	102			
Pediatr Rep	15		98.5	
Pediatr Rheumatol Online J	29		75	
PeerJ	350		17	
Perioper Med (Lond)	12			
Pers Individ Dif	1			
Pharm Stat	47			
Pharmaceuticals (Basel)	41			
Pharmaceutics	21			
Pharmacol Res Perspect	3			
Pharmacology	127		88.5	
Pharmacotherapy	3			
Pharmgenomics Pers Med	4			
Phonetica	19		243.5	
Photoacoustics	2			
Photochem. Photobiol.	204			
Phys Plasmas	1			
Physiol Mol Biol Plants	1			
Phytochem Anal	113			
Phytochem Rev	2			
PhytoKeys	72		164	
Planet Space Sci	1			
Plant Biotechnol Rep	2			
Plant Methods	26		116	
Plast Surg Int	20		103	
PLoS Comput. Biol.	672		94.5	
PLoS Negl Trop Dis	793		87	
PLoS ONE	45560		108	
PLoS Pathog.	757		91	
Pneumonol Alergol Pol	39			
Pol Orthop Traumatol	1			
Popul Res Policy Rev	1			
Postepy Kardiol Interwencyjnej	143			
PPAR Res	51		40	
Pract Radiat Oncol	73			
Probl Radiac Med Radiobiol	38			
Prostate Cancer	27		66.5	
Prostate Int	45			
Proteome Sci	34		78	
Prz Gastroenterol	28		248.5	
Psych J	1			
Psychiatry J	46		34	
Psychosis	2			
Psychosomatics	108			
Public Health Ethics	1			
Public Health Genomics	36		134.5	
Pulm Med	49		56	
Qatar Med J	35			
Quat Geochronol	1			
Radiat Oncol	172		149.5	
Radiol Res Pract	24			
Radiologia	65			
Rare Dis	38			
Rare Tumors	87		144	
Recent Pat Antiinfect Drug Discov	2			
Recent Pat Biotechnol	2			
Recent Pat Cardiovasc Drug Discov	4			
Recent Pat Food Nutr Agric	4			
Redox Biol	89			
Rehabil Nurs	1			
Rehabil Res Pract	18			
Reprod Health	35		152	
Reprod. Biol. Endocrinol.	57		84	
Reprod. Med. Biol.	3			
Res Social Adm Pharm	83			
Res Synth Methods	1			
Respir. Res.	72		37.5	
Results Immunol	21			
Retrovirology	58		75	
Reumatismo	10		75	
Reumatol Clin	78			
Rev Assoc Med Bras	58			
Rev Bras Anestesiol	17			
Rev Bras Enferm	87			
Rev Bras Hematol Hemoter	115		124	
Rev Bras Parasitol Vet	61			
Rev Bras Psiquiatr	28			
Rev Bras Reumatol	44		432.5	
Rev Bras Ter Intensiva	28		135	
Rev Calid Asist	34			
Rev Col Bras Cir	41			
Rev Environ Health	19			
Rev Esp Cir Ortop Traumatol	64			
Rev Esp Geriatr Gerontol	56			
Rev Esp Med Nucl Imagen Mol	116		448.5	
Rev Gastroenterol Mex	31			
Rev Iberoam Micol	66			
Rev Lat Am Enfermagem	97			
Rev Neurosci	45		172	
Rev Philos Psychol	2			
Rev Port Cir Cardiotorac Vasc	47			
Rev Port Pneumol	47			
Rev Psiquiatr Salud Ment	21			
Rev Recent Clin Trials	4			
Rev Relig Res	2			
Rev Salud Publica (Bogota)	52			
Rev. Argent. Microbiol.	1			
Rev. Inst. Med. Trop. Sao Paulo	50		344	
Rev. Invest. Clin.	28			
Rev. Soc. Bras. Med. Trop.	99			
Rice (N Y)	16		96.5	
Sarcoidosis Vasc Diffuse Lung Dis	2			
Sarcoma	62			
Scand J Trauma Resusc Emerg Med	49		27	
Scanning	49			
Schizophr Res Treatment	22			
Sci Rep	1791		135	
Scientifica (Cairo)	60			
ScientificWorldJournal	1823			
Scoliosis	14		179	
Semin. Ultrasound CT MR	1			
Sens Actuators B Chem	1			
Sens Imaging	1			
Sensors (Basel)	446			
Sep Sci Technol	2			
Silence	3			
Skelet Muscle	16		57	
Skin Res Technol	1			
Sleep Disord	28			
Socioaffect Neurosci Psychol	11			
Soft Matter	2			
Solid State Nucl Magn Reson	33		175	
Somnologie (Berl)	2			
Source Code Biol Med	16		47	
Spermatogenesis	6		101	
Sport Sci Health	2			
Springerplus	714		385	
Stat Biosci	2			
Stem Cell Reports	68			
Stem Cell Res Ther	70		111	
Stem Cells Int	91			
Stroke Res Treat	65		51	
Subst Abuse Treat Prev Policy	26		125	
Surf Interface Anal	2			
Surf Sci	1			
Surg Neurol Int	332			
Surg Obes Relat Dis	197			
Surv Ophthalmol	56			
Symbiosis	3			
Synth Met	1			
Syst Rev	64			
Tanaffos	36		144	
Tetrahedron Lett.	3			
Theor Biol Med Model	42			
Theor Ecol	1			
Ther Clin Risk Manag	5			
Theranostics	120		71.5	
Therapie	32			
Thin Solid Films	1			
Thromb J	16			
Thrombosis	15		122.5	
Thyroid Res	8			
Tierarztl Prax Ausg G Grosstiere Nutztiere	42		158	
Tob Induc Dis	19			
Transl Neurodegener	14		71	
Transl Psychiatry	27			
Translation (Austin)	1			
Transplant Res	10		190	
Travel Med Infect Dis	81			
Tremor Other Hyperkinet Mov (N Y)	72		175.5	
Trials	232		79	
Tribol Int	1			
Trop Parasitol	22			
Tuberc Res Treat	23			
Uisahak	2			
Ultrasonography	1			
Value Health	102			
Vascul. Pharmacol.	65		195	
Vet Med Int	34			
Vet Ophthalmol	3			
Vet Radiol Ultrasound	118			
Vet. Res.	70		64	
Virol. J.	189		100	
Virusdisease	4			
Vulnerable Child Youth Stud	1			
Water Resour Res	3			
West Indian Med J	1			
Wiley Interdiscip Rev Comput Mol Sci	3			
Wiley Interdiscip Rev Nanomed Nanobiotechnol	8			
Wiley Interdiscip Rev RNA	28			
Wiley Interdiscip Rev Syst Biol Med	19			
Womens Health Issues	45			
Work Stress	1			
World Allergy Organ J	16		76.5	
World J Clin Pediatr	4			
World J Crit Care Med	2			
World J Emerg Med	55		101.5	
World J Emerg Surg	35			
World J Exp Med	1			
World J Gastrointest Pathophysiol	4			
World J Methodol	3			
World J Surg Oncol	185		78	
World J Transplant	4			
Worldviews Evid Based Nurs	2			
Wound Repair Regen	108			
Xenotransplantation	30			
Z Evid Fortbild Qual Gesundhwes	69		107	
Z Gesundh Wiss	2			
Zoo Biol.	95			
Zookeys	665		220	
Zoomorphology	4			
Zootaxa	384			
